"","county_no","USPS","county_fips","NAME","latP","lonP","freq","nS_past","nS_future","isWeibull_past","uS_past","scale_past","isWeibull_future","uS_future","scale_future","NTC_1","NTC_2","lambda_past","lambda_future","shp_past","shp_future"
"1",1,"AL","01001","Autauga County",32.532237,-86.64644,0.535975021307907,797,954,0,33.593659547352,2.61103922632914,0,27.8528636703484,3.7557502042516,23.7795719333693,3.49460568965124,0.021546751693902,0.0500018625748467,0.0944621290975896,0.0896010852458024
"2",2,"AL","01003","Baldwin County",30.659218,-87.746067,0.608695250329583,905,1086,0,30.1829310735981,5.9649191076084,0,32.654170463056,9.05582701548957,23.7353638783604,3.4723639755917,0.0814736548425668,0.0857554081956042,0.098624652526257,0.0871068312306874
"3",3,"AL","01005","Barbour County",31.870253,-85.405104,0.618121946684244,918,1104,1,36.5229481649219,3.95762124086683,0,31.7252903344106,4.29630085020642,23.623493505611,3.49877976533009,0.015486727779992,0.0391925147354141,-0.2651032774708,0.0127631214572829
"4",4,"AL","01007","Bibb County",33.015893,-87.127148,0.472681488640893,704,840,1,34.6841463594499,4.44074160559828,0,28.0707385213992,3.49046579162627,23.8675140897811,3.49160250837271,0.0148133917895576,0.0377019758796903,-0.531100749210767,0.0825765347900804
"5",5,"AL","01009","Blount County",33.977358,-86.56644,0.346094423306865,515,618,1,28.0563359097661,3.51332537547677,0,23.2231935557477,2.38286296431831,23.9540566409958,3.49019124488251,0.0208734157034675,0.0240810035634226,-0.128870007928833,0.0998988497184737
"6",6,"AL","01011","Bullock County",32.101759,-85.717261,0.596575212159303,886,1062,0,33.8159887411777,3.34340551934652,0,26.9559711303173,4.24555391744731,23.6641749894919,3.49826265550649,0.0269334396173774,0.0915647453690833,0.0985243581948958,0.0680081167577091
"7",7,"AL","01013","Butler County",31.751667,-86.681969,0.584455173989024,869,1044,1,35.757946753843,3.60404448821267,0,26.7003920241451,5.22288118216676,23.7222304733238,3.49153290511732,0.0235667596652053,0.10412707122793,-0.00212189748620541,0.096091173531487
"8",8,"AL","01015","Calhoun County",33.770516,-85.827909,0.398614588711408,592,708,1,31.4639781474502,3.55048271108603,0,22.009488642918,3.28347676794333,23.8461476230536,3.49460288552106,0.0148133917895576,0.0489823011552154,-0.306649383638642,0.0214084241140701
"9",9,"AL","01017","Chambers County",32.915504,-85.394032,0.547421724024282,814,978,0,31.5551344430856,2.90296871105341,1,30.8741044922942,6.07644460305112,23.6915458359394,3.50151609149386,0.0276067756078119,0.0212699647371398,0.0936772253712605,-0.661916787378767
"10",10,"AL","01019","Cherokee County",34.069515,-85.654242,0.32252768242021,480,576,0,27.2960009298124,3.22295905287606,0,24.9770425314873,1.98090885603265,23.8605646113298,3.49330489238578,0.0228934236747708,0.0128787095410848,0.088803993942087,0.0597625221779564
